Temperature,West_East_Wind,South_North_Wind
5.9535217,0.7477722,0.6971283
6.2149963,0.9089203,0.6765747
6.1610413,0.91345215,0.6386719
6.0939026,0.67211914,0.67819214
5.9586487,0.26359558,0.9264374
5.8885803,0.0967865,1.1159363
5.8937073,0.8339844,1.1463623
6.0924377,1.1050873,1.0091095
6.376129,1.3792725,0.59840393
6.7220764,1.4633789,0.106033325
7.0643616,1.4250183,-0.33389282
7.4046936,1.4384766,-0.625824
7.2308655,1.4755554,-0.95355225
7.393219,1.495285,-1.1756744
7.4086,1.5205994,-1.4364014
7.3346252,1.5770569,-1.5867004
7.3421936,1.5921478,-1.5757599
7.275543,1.602356,-1.5198822
7.4342346,1.5506134,-1.7861328
7.3714905,1.6843109,-1.6593475
7.0367737,1.7657623,-1.5071869
6.544098,1.8785858,-1.2248688
6.6722717,2.0412598,-1.1624146
7.3122864,2.2158203,-1.1342773
7.5299377,2.4163513,-1.3336792
7.688019,2.9090424,-2.246048
7.2467346,2.548767,-2.0075989
6.662628,2.4358978,-1.7167664
6.0604553,2.37352,-1.430542
5.627228,2.2900696,-1.2961273
6.190094,2.3545685,-1.369751
6.153473,2.2848053,-1.4352875
5.754303,2.2332764,-1.3618927
5.4127502,2.1644135,-1.2206573
5.5138245,2.1012726,-1.1163788
5.325592,2.0049133,-0.99809265
5.469635,1.9249268,-0.84284973
5.119293,1.971344,-0.55178833
5.19693,1.917633,-0.2839203
4.901764,1.792099,0.10369873
4.902252,1.7060089,0.4257965
5.2687073,1.6524506,0.5556183
5.782379,1.5208435,0.752182
6.169342,1.7285767,0.81681824
6.44693,2.083969,0.6612396
6.839264,2.2190094,0.48995972
7.5447083,2.1739044,0.59947205
7.8955383,2.51857,0.92967224
8.044586,2.5037384,1.1087494
8.194366,2.873413,0.83143616
8.054718,3.1723328,0.35884094
7.6350403,2.922821,0.41964722
7.276886,2.712738,1.0445099
7.2445374,3.0463104,1.4902649
6.6147766,3.3008728,1.914856
6.7208557,3.5221405,2.3707123
6.891266,3.7864227,2.530243
7.332672,4.1316376,2.6441803
7.762726,4.503952,2.31279
8.193268,5.6710815,0.38719177
8.266754,5.413727,-0.7524109
7.7761536,5.1467896,-0.27420044
7.537384,5.38208,-0.39422607
7.4199524,5.3575745,-0.79701424
7.370514,5.241562,-1.0444221
7.356842,5.26001,-1.0773773
7.1925354,5.3419037,-1.5442104
6.9847717,5.010971,-1.3258381
7.105133,4.904129,-1.1135387
7.4149475,5.2124634,-0.9089241
7.7669983,5.7377777,-0.86013794
8.240997,6.4020996,-1.3076344
8.591705,6.5051575,-1.611803
8.821442,6.5403595,-1.5389614
8.994904,6.617157,-1.5288296
8.91922,6.632965,-1.5903511
8.706818,6.4183197,-1.285778
8.403961,6.2475586,-0.9213257
8.472565,6.235855,-0.70111847
8.334381,6.178665,-0.28800774
8.13089,6.1094055,0.09307289
8.101227,6.1368713,0.16393471
8.065094,6.2406616,0.24299812
8.04483,6.333084,0.2121296
8.023468,6.332428,0.06370163
8.068878,6.375229,0.19304848
8.227081,6.342163,0.25367737
8.383575,6.2596893,0.26669312
8.584015,6.2804413,0.022750854
8.740631,6.2999725,-0.054382324
8.575348,6.578354,-0.24942017
8.741119,6.703842,-0.68151855
8.88858,7.0813446,-1.5784149
8.787506,7.065872,-1.9443359
8.63858,6.780716,-2.1971893
8.27066,6.760605,-2.6881561
7.7936096,6.2401733,-2.6647644
7.508209,6.6253357,-2.7825928
7.261383,6.217972,-2.5133514
7.0316467,6.1809998,-2.4592438
6.7836,6.1518097,-2.5595798
6.756256,5.958969,-2.680851
6.535797,5.776245,-3.012146
6.7657776,5.4644165,-3.1129303
6.758209,5.1606445,-3.5605316
6.8229065,4.904478,-3.404602
6.9010315,4.668091,-3.529007
6.540436,4.537033,-3.252182
6.1925354,4.4895477,-3.107483
5.9601135,4.422882,-2.8693695
5.8558655,4.2067413,-2.5118256
5.657379,3.9441376,-2.2699738
5.553131,3.7121277,-1.9025726
5.5035706,3.591156,-1.6164246
5.4029846,3.211319,-1.5392914
5.49234,2.9178162,-1.1970234
5.354889,2.6774445,-0.74684715
5.3771057,2.6360016,-0.06207657
5.8089905,2.5548248,0.3729248
6.103424,2.5402985,0.6359081
6.480133,2.5217285,1.109127
6.4986877,2.2673645,1.5112658
6.450592,2.844513,1.8133631
6.4237366,2.755722,2.056179
6.4635315,2.681549,2.3883724
6.585602,2.964264,2.322075
6.727936,3.2395935,2.235138
6.9654846,3.5146027,1.8529186
